topic_seq,level_band,level_int,l1,l2,l3
265,5,5,文化与传统,历史,历史人物、历史事件
266,5,5,文化与传统,古代科技,古代科技成就
267,5,5,文化与传统,古代科技,古人科学观念、古代科学家事迹
268,6,6,日常生活,日常事务,业务办理
269,6,6,日常生活,日常事务,困难求助
270,6,6,日常生活,饮食,餐饮体验
271,6,6,日常生活,饮食,食品安全
272,6,6,日常生活,交通出行,出行体验
273,6,6,日常生活,交通出行,出行攻略
274,6,6,日常生活,医疗健康,就医
275,6,6,日常生活,医疗健康,健康生活
276,6,6,日常生活,社区,居住情况
277,6,6,日常生活,社区,社区服务
278,6,6,日常生活,社区,社区管理
279,6,6,日常生活,社区,居民生活
280,6,6,教育情况,学习情况,课程情况
281,6,6,教育情况,学习情况,教学情况
282,6,6,教育情况,学习情况,学习者
283,6,6,教育情况,校园生活,校园活动
284,6,6,教育情况,校园生活,学校情况
285,6,6,教育情况,教育问题,教育事件、教育理念、教育热点问题
286,6,6,职场生活,职业与经历,工作内容
287,6,6,职场生活,职业与经历,职场定位
288,6,6,职场生活,经营与管理,人员管理
289,6,6,职场生活,经营与管理,企业发展
290,6,6,自然与环境,自然,地理分区
291,6,6,自然与环境,自然,地形地貌
292,6,6,自然与环境,自然,自然现象
293,6,6,自然与环境,自然,动植物
294,6,6,自然与环境,自然,自然资源
295,6,6,自然与环境,自然,自然规律
296,6,6,自然与环境,环境,灾害
297,6,6,自然与环境,环境,能源开发
298,6,6,自然与环境,环境,环境保护
299,6,6,自然与环境,环境,基础设施
300,6,6,科学技术,科技发展,生活类科技产品
301,6,6,科学技术,科技发展,信息科技产品
302,6,6,科学技术,科学知识,科普知识
303,6,6,科学技术,科学知识,科研成果
304,6,6,科学技术,科学知识,科普工作
305,6,6,当代社会,经济现象,商贸活动
306,6,6,当代社会,经济现象,投资理财
307,6,6,当代社会,经济现象,财务与消费
308,6,6,当代社会,经济现象,经济发展
309,6,6,当代社会,社会现象,民生发展
310,6,6,当代社会,社会现象,新兴事物
311,6,6,当代社会,社会现象,潮流风气
312,6,6,当代社会,社会现象,公益活动
313,6,6,当代社会,社会现象,新闻热点
314,6,6,当代社会,文艺,文艺形式
315,6,6,当代社会,文艺,文艺常识
316,6,6,当代社会,文艺,创作者及其作品
317,6,6,当代社会,文艺,文艺活动
318,6,6,当代社会,体育,运动项目
319,6,6,当代社会,体育,体育赛事
320,6,6,当代社会,体育,体育名人、体育故事等
321,6,6,当代社会,中外交流,国际活动
322,6,6,当代社会,中外交流,友好交流事件
323,6,6,文化与传统,语言文字,古诗词
324,6,6,文化与传统,语言文字,成语、俗语、方言等
325,6,6,文化与传统,民俗传统,传统节日与习俗
326,6,6,文化与传统,民俗传统,民间传说
327,6,6,文化与传统,民俗传统,古代生活
328,6,6,文化与传统,人文景观,名胜古迹、传统民居、建筑等
329,6,6,文化与传统,传统思想与艺术,哲学思想
330,6,6,文化与传统,传统思想与艺术,传统艺术
331,6,6,文化与传统,传统思想与艺术,传统审美意象
332,6,6,文化与传统,历史,历史人物、器物与事件
333,6,6,文化与传统,历史,朝代概况
334,6,6,文化与传统,古代科技,古代科技成就
335,6,6,文化与传统,古代科技,古人科学观念、古代科学家事迹
336,7-9,7,个体与社会,人际交往,人际关系
337,7-9,7,个体与社会,人际交往,中国人际交往中的品行观念和评价
338,7-9,7,个体与社会,形象服饰,不同文化和场合符合礼仪的形象
339,7-9,7,个体与社会,形象服饰,服饰搭配与风格
340,7-9,7,个体与社会,形象服饰,中式服装特点与审美
341,7-9,7,个体与社会,饮食餐饮,具有代表性的中国饮食观念、烹饪方法
342,7-9,7,个体与社会,饮食餐饮,多样化的地域饮食特色
343,7-9,7,个体与社会,饮食餐饮,各种餐饮形态的特点和代表品种
344,7-9,7,个体与社会,饮食餐饮,中国餐桌文化及含义
345,7-9,7,个体与社会,建筑与社区,建筑与社区文化
346,7-9,7,个体与社会,建筑与社区,社区空间、设施的规划与建设
347,7-9,7,个体与社会,建筑与社区,建筑功能设计与建设
348,7-9,7,个体与社会,建筑与社区,房屋买卖与租赁
349,7-9,7,个体与社会,休闲娱乐,旅游度假
350,7-9,7,个体与社会,休闲娱乐,运动健身
351,7-9,7,个体与社会,休闲娱乐,文化娱乐
352,7-9,7,个体与社会,休闲娱乐,购物休闲
353,7-9,7,个体与社会,学业职业,专业学习
354,7-9,7,个体与社会,学业职业,学业发展与生涯规划
355,7-9,7,个体与社会,学业职业,职业发展
356,7-9,7,国家与社会,人口与发展,人口流动与管理
357,7-9,7,国家与社会,人口与发展,老龄化
358,7-9,7,国家与社会,人口与发展,人口发展
359,7-9,7,国家与社会,教育发展,教育政策
360,7-9,7,国家与社会,教育发展,高等教育体制
361,7-9,7,国家与社会,教育发展,教育高质量发展
362,7-9,7,国家与社会,媒介与传播,正式表达与非正式表达
363,7-9,7,国家与社会,媒介与传播,媒介与信息传播
364,7-9,7,国家与社会,媒介与传播,数字媒介素养
365,7-9,7,国家与社会,媒介与传播,知识共享与版权保护
366,7-9,7,国家与社会,健康与医疗,疾病诊疗与公共卫生
367,7-9,7,国家与社会,健康与医疗,心理健康与心理治疗
368,7-9,7,国家与社会,健康与医疗,医学技术创新与伦理
369,7-9,7,国家与社会,健康与医疗,中医和西医
370,7-9,7,国家与社会,交通与运输,交通运输系统建设和影响
371,7-9,7,国家与社会,交通与运输,各种运输方式的特点和发展趋势
372,7-9,7,国家与社会,交通与运输,城市交通系统规划与发展
373,7-9,7,国家与社会,经济与生产,宏观经济
374,7-9,7,国家与社会,经济与生产,产业发展
375,7-9,7,国家与社会,经济与生产,农、林、牧、渔业生产
376,7-9,7,国家与社会,经济与生产,工业生产
377,7-9,7,国家与社会,经济与生产,金融服务贸易
378,7-9,7,国家与社会,经济与生产,企业运营
379,7-9,7,国家与社会,法制与治安,法制建设
380,7-9,7,国家与社会,法制与治安,治安管理
381,7-9,7,国家与社会,社会公共管理,社会保障
382,7-9,7,国家与社会,社会公共管理,劳动就业
383,7-9,7,国家与社会,社会公共管理,公共基础设施建设
384,7-9,7,国家与社会,社会公共管理,社会公共组织
385,7-9,7,国家与社会,社会公共管理,社会基层治理
386,7-9,7,文化与传统,文学艺术,中国传统文化意象及在不同文学艺术形式中的表现
387,7-9,7,文化与传统,文学艺术,不同文学形式的特点和作品欣赏
388,7-9,7,文化与传统,文学艺术,不同艺术形式的特点和作品欣赏
389,7-9,7,文化与传统,历史,中国历史发展基本脉络
390,7-9,7,文化与传统,历史,中国重大历史事件和历史人物
391,7-9,7,文化与传统,哲学思想,儒家主要思想、代表人物和影响
392,7-9,7,文化与传统,哲学思想,道家主要思想、代表人物和影响
393,7-9,7,文化与传统,习俗礼俗,农历岁时节令习俗
394,7-9,7,文化与传统,习俗礼俗,节庆习俗
395,7-9,7,文化与传统,习俗礼俗,婚嫁习俗
396,7-9,7,文化与传统,习俗礼俗,生日习俗
397,7-9,7,文化与传统,习俗礼俗,丧葬习俗
398,7-9,7,文化与传统,文化遗产,中国重要的人类物质文化遗产及影响
399,7-9,7,文化与传统,文化遗产,中国重要的人类非物质文化遗产及影响
400,7-9,7,文化与传统,文化遗产,文化遗产保护、传承与发扬
401,7-9,7,自然与环境,宇宙环境,宇宙的起源与演化
402,7-9,7,自然与环境,宇宙环境,宇宙的结构与物质
403,7-9,7,自然与环境,宇宙环境,人类的太空探索与发现
404,7-9,7,自然与环境,地质环境,地球构造
405,7-9,7,自然与环境,地质环境,地形、地势、地貌特点
406,7-9,7,自然与环境,地质环境,地形、地势对经济、人文活动的影响
407,7-9,7,自然与环境,地质环境,矿产资源
408,7-9,7,自然与环境,大气环境,不同气候类型
409,7-9,7,自然与环境,大气环境,气候变化
410,7-9,7,自然与环境,大气环境,大气监测
411,7-9,7,自然与环境,水环境,水资源分布和利用
412,7-9,7,自然与环境,水环境,水生态保护与可持续发展
413,7-9,7,自然与环境,土地环境,土地资源分布和利用
414,7-9,7,自然与环境,土地环境,土地资源保护与可持续发展
415,7-9,7,自然与环境,生物环境,生物资源分布特点和利用
416,7-9,7,自然与环境,生物环境,生物资源保护与可持续发展
417,7-9,7,科学技术,信息科学技术,计算机科学
418,7-9,7,科学技术,信息科学技术,网络通信技术
419,7-9,7,科学技术,信息科学技术,大数据与数据分析
420,7-9,7,科学技术,信息科学技术,人工智能与机器学习
421,7-9,7,科学技术,航空航天科学技术,航天航空科技
422,7-9,7,科学技术,航空航天科学技术,航空航天技术应用
423,7-9,7,科学技术,生物科学技术,生物科技与农业
424,7-9,7,科学技术,生物科学技术,生物科技与环保
425,7-9,7,科学技术,生物科学技术,生物科技与医疗
426,7-9,7,科学技术,其他新兴科学技术,先进材料与制造
427,7-9,7,科学技术,其他新兴科学技术,可再生能源技术
